,timestamp,imsi,lac_id,cell_id,laci,longitude,latitude
0,2018100303,460000095005561145,16392,2287688,16392-2287688,122.8896332,41.51470947
1,2018100317,460000095005561145,16392,67169077,16392-67169077,122.8960876,41.51839828
2,2018100317,460000095005561145,16392,67169077,16392-67169077,122.8960876,41.51839828
3,2018100317,460000095005561145,16392,67169077,16392-67169077,122.8960876,41.51839828
4,2018100317,460000095005561145,16392,67169077,16392-67169077,122.8960876,41.51839828
5,2018100318,460000095005561145,16392,2287689,16392-2287689,122.8896332,41.51470947
6,2018100318,460000095005561145,16392,2287689,16392-2287689,122.8896332,41.51470947
7,2018100318,460000095005561145,16392,67167243,16392-67167243,122.8741531,41.50146866
8,2018100318,460000095005561145,16392,2287679,16392-2287679,122.8896332,41.51470947
9,2018100318,460000095005561145,16392,2287679,16392-2287679,122.8896332,41.51470947
10,2018100318,460000095005561145,16392,54556744,16392-54556744,122.9067917,41.52077866
11,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
12,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
13,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
14,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
15,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
16,2018100319,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
17,2018100320,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
18,2018100320,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
19,2018100320,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
20,2018100320,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
21,2018100320,460000095005561145,16392,67169036,16392-67169036,122.8960876,41.51839828
22,2018100320,460000095005561145,16392,67169036,16392-67169036,122.8960876,41.51839828
23,2018100321,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
24,2018100321,460000095005561145,16392,67281931,16392-67281931,122.8947372,41.51762009
25,2018100321,460000095005561145,16392,67169036,16392-67169036,122.8960876,41.51839828
26,2018100322,460000095005561145,16389,2571019,16389-2571019,123.2350616,41.76229858
27,2018100322,460000095005561145,16404,60139396,16404-60139396,123.3034363,41.77828979
28,2018100322,460000095005561145,16655,67684149,16655-67684149,123.40065,41.79916
29,2018100322,460000095005561145,16789,67569932,16789-67569932,123.4119873,41.8078804
30,2018100322,460000095005561145,16789,67569932,16789-67569932,123.4119873,41.8078804
31,2018100322,460000095005561145,16789,67569932,16789-67569932,123.4119873,41.8078804
32,2018100323,460000095005561145,16789,67569932,16789-67569932,123.4119873,41.8078804
33,2018100323,460000095005561145,16789,67569932,16789-67569932,123.4119873,41.8078804
34,2018100323,460000095005561145,16789,67567668,16789-67567668,123.4087296,41.80886078
35,2018100323,460000095005561145,16789,67567668,16789-67567668,123.4087296,41.80886078
36,2018100309,460000095005565778,16642,249678091,16642-249678091,123.3987732,41.65663147
37,2018100309,460000095005565778,16642,235014933,16642-235014933,123.4041519,41.65242004
38,2018100309,460000095005565778,16642,61402509,16642-61402509,123.4072418,41.6687088
39,2018100309,460000095005565778,16642,67315980,16642-67315980,123.3996277,41.69952011
40,2018100309,460000095005565778,16642,235007509,16642-235007509,123.3918686,41.71324921
41,2018100310,460000095005565778,16642,2180875,16642-2180875,123.3974915,41.79610062
42,2018100310,460000095005565778,16642,2180915,16642-2180915,123.3974915,41.79610062
43,2018100310,460000095005565778,16655,67442741,16655-67442741,123.3974915,41.79610062
44,2018100310,460000095005565778,16884,67925279,16884-67925279,123.3891907,41.78546906
45,2018100310,460000095005565778,16401,67584779,16401-67584779,123.4019775,41.78142166
46,2018100311,460000095005565778,16788,67465995,16788-67465995,123.4115295,41.76802826
47,2018100311,460000095005565778,16788,67465995,16788-67465995,123.4115295,41.76802826
48,2018100311,460000095005565778,16788,67466035,16788-67466035,123.4115295,41.76802826
49,2018100311,460000095005565778,16788,67466045,16788-67466045,123.4115295,41.76802826
50,2018100314,460000095005565778,16788,67466036,16788-67466036,123.4115295,41.76802826
51,2018100314,460000095005565778,16402,67463711,16402-67463711,123.4357605,41.77159119
52,2018100315,460000095005565778,16788,61708173,16788-61708173,123.41596979999998,41.7686615
53,2018100315,460000095005565778,16788,67465997,16788-67465997,123.4115295,41.76802826
54,2018100315,460000095005565778,16788,67465996,16788-67465996,123.4115295,41.76802826
55,2018100315,460000095005565778,16788,67466046,16788-67466046,123.4115295,41.76802826
56,2018100316,460000095005565778,16788,67465995,16788-67465995,123.4115295,41.76802826
57,2018100316,460000095005565778,16788,67466035,16788-67466035,123.4115295,41.76802826
58,2018100316,460000095005565778,16788,67465995,16788-67465995,123.4115295,41.76802826
59,2018100316,460000095005565778,16788,67465996,16788-67465996,123.4115295,41.76802826
60,2018100318,460000095005565778,16788,67466035,16788-67466035,123.4115295,41.76802826
61,2018100319,460000095005565778,16788,67466035,16788-67466035,123.4115295,41.76802826
62,2018100320,460000095005565778,16788,67466035,16788-67466035,123.4115295,41.76802826
63,2018100321,460000095005565778,16788,12615299,16788-12615299,123.4073486,41.77185059
64,2018100321,460000095005565778,16401,67459389,16401-67459389,123.4168015,41.77732849
65,2018100321,460000095005565778,16401,67579955,16401-67579955,123.4134979,41.78467178
66,2018100321,460000095005565778,16789,67569420,16789-67569420,123.419281,41.80438995
67,2018100321,460000095005565778,16789,67436852,16789-67436852,123.4128571,41.80469894
68,2018100321,460000095005565778,16789,67436852,16789-67436852,123.4128571,41.80469894
69,2018100321,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
70,2018100322,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
71,2018100322,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
72,2018100322,460000095005565778,16789,67436595,16789-67436595,123.4106903,41.80588913
73,2018100322,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
74,2018100322,460000095005565778,16789,67436605,16789-67436605,123.4106903,41.80588913
75,2018100322,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
76,2018100323,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
77,2018100323,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
78,2018100323,460000095005565778,16789,249616140,16789-249616140,123.4087067,41.80638123
79,2018100300,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
80,2018100300,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
81,2018100300,460000095005571676,16789,67574796,16789-67574796,123.41426090000002,41.80113983
82,2018100300,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
83,2018100300,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
84,2018100300,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
85,2018100301,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
86,2018100301,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
87,2018100301,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
88,2018100301,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
89,2018100301,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
90,2018100302,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
91,2018100302,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
92,2018100302,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
93,2018100302,460000095005571676,16789,12785293,16789-12785293,123.4117813,41.80295181
94,2018100302,460000095005571676,16789,67291404,16789-67291404,123.4166718,41.8102417
95,2018100302,460000095005571676,16644,61726861,16644-61726861,123.415947,41.82638931
96,2018100302,460000095005571676,16644,61726861,16644-61726861,123.415947,41.82638931
97,2018100302,460000095005571676,16644,61726861,16644-61726861,123.415947,41.82638931
98,2018100302,460000095005571676,16644,67663678,16644-67663678,123.4168396,41.82715988
99,2018100302,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
100,2018100302,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
101,2018100302,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
102,2018100302,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
103,2018100302,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
104,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
105,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
106,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
107,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
108,2018100303,460000095005571676,16789,12601497,16789-12601497,123.4207916,41.81219864
109,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
110,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
111,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
112,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
113,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
114,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
115,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
116,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
117,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
118,2018100303,460000095005571676,16789,67584268,16789-67584268,123.41438290000002,41.81169891
119,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
120,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
121,2018100303,460000095005571676,16644,67664191,16644-67664191,123.417511,41.82001114
122,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
123,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
124,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
125,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
126,2018100303,460000095005571676,16789,67584268,16789-67584268,123.41438290000002,41.81169891
127,2018100303,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
128,2018100303,460000095005571676,16644,67664191,16644-67664191,123.417511,41.82001114
129,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
130,2018100303,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
131,2018100304,460000095005571676,16789,12601477,16789-12601477,123.4207916,41.81219864
132,2018100304,460000095005571676,16792,235031318,16792-235031318,123.39129640000002,41.86468887
133,2018100304,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
134,2018100304,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
135,2018100304,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
136,2018100304,460000095005571676,16789,67584308,16789-67584308,123.41438290000002,41.81169891
137,2018100304,460000095005571676,16789,67673406,16789-67673406,123.4181671,41.81634903
